,Time of Measurement,Weight(lb),BMI,Body Fat(%),Body Type,Fat-free Body Weight(lb),Subcutaneous Fat(%),Visceral Fat,Body Water(%),Skeletal Muscle(%),Muscle Mass(lb),Muscle storage ability level,Bone Mass(lb),Protein(%),BMR(kcal),Metabolic Age
193,October 12， 2020 at 7:05:51 AM,168.2,24.9,14.1,Normal,144.4,11.9,7.0,62.0,55.5,137.2,,7.2,19.6,1784.0,51.0
194,October 9， 2020 at 7:35:35 AM,166.8,24.7,14.0,Normal,143.6,11.8,7.0,62.1,55.6,136.4,,7.2,19.6,1776.0,51.0
195,October 9， 2020 at 7:35:00 AM,166.8,24.7,14.0,Normal,143.6,11.8,7.0,62.1,55.6,136.4,,7.2,19.6,1776.0,51.0
196,October 7， 2020 at 7:39:36 AM,168.6,25.0,14.2,Normal,144.8,12.0,7.0,62.0,55.4,137.6,,7.2,19.6,1788.0,51.0
197,October 7， 2020 at 7:25:25 AM,168.8,25.0,14.2,Normal,144.8,12.0,7.0,62.0,55.4,137.6,,7.2,19.6,1788.0,51.0
198,October 6， 2020 at 7:15:38 AM,169.8,25.2,14.3,Muscular,145.6,12.1,7.0,61.9,55.4,138.2,,7.2,19.5,1796.0,52.0
199,October 2， 2020 at 7:20:02 AM,168.6,25.0,14.2,Normal,144.8,12.0,7.0,62.0,55.4,137.6,,7.2,19.6,1788.0,51.0
200,September 30， 2020 at 7:16:59 AM,167.8,24.8,14.1,Normal,144.2,11.9,7.0,62.1,55.5,137.0,,7.2,19.6,1782.0,51.0
201,September 30， 2020 at 7:02:08 AM,167.8,24.8,14.1,Normal,144.2,11.9,7.0,62.1,55.5,137.0,,7.2,19.6,1782.0,51.0
202,September 23， 2020 at 7:01:22 AM,168.0,24.9,14.1,Normal,144.4,11.9,7.0,62.0,55.5,137.2,,7.2,19.6,1783.0,51.0
203,September 22， 2020 at 7:16:05 AM,167.2,24.8,14.0,Normal,143.8,11.8,7.0,62.1,55.6,136.6,,7.2,19.6,1779.0,51.0
204,September 22， 2020 at 7:15:40 AM,167.2,24.8,14.0,Normal,143.8,11.8,7.0,62.1,55.6,136.6,,7.2,19.6,1779.0,51.0
205,September 20， 2020 at 7:44:20 AM,164.4,24.4,13.7,Normal,142.0,11.6,7.0,62.3,55.8,134.8,,7.0,19.7,1760.0,51.0
206,September 20， 2020 at 7:43:38 AM,164.4,24.4,13.7,Normal,142.0,11.6,7.0,62.3,55.8,134.8,,7.0,19.7,1760.0,51.0
207,September 20， 2020 at 7:43:16 AM,164.4,24.4,13.7,Normal,142.0,11.6,7.0,62.3,55.8,134.8,,7.0,19.7,1760.0,51.0
208,September 20， 2020 at 7:42:50 AM,164.4,24.4,13.7,Normal,142.0,11.6,7.0,62.3,55.8,134.8,,7.0,19.7,1760.0,51.0
209,September 20， 2020 at 7:41:26 AM,167.8,24.9,14.1,Normal,144.2,11.9,7.0,62.0,55.5,137.0,,7.2,19.6,1783.0,51.0
210,September 14， 2020 at 7:16:39 AM,165.6,24.5,13.8,Normal,142.8,11.7,7.0,62.2,55.7,135.6,,7.2,19.6,1768.0,51.0
211,September 14， 2020 at 7:16:20 AM,165.6,24.5,13.8,Normal,142.6,11.7,7.0,62.2,55.7,135.6,,7.2,19.6,1767.0,51.0
212,September 11， 2020 at 7:17:38 AM,165.4,24.5,13.8,Normal,142.6,11.7,7.0,62.2,55.7,135.4,,7.2,19.7,1766.0,51.0
213,September 8， 2020 at 7:12:07 AM,164.6,24.4,13.7,Normal,142.0,11.7,7.0,62.3,55.7,135.0,,7.0,19.7,1761.0,51.0
214,September 4， 2020 at 7:34:27 AM,166.4,24.6,13.9,Normal,143.2,11.8,7.0,62.2,55.6,136.0,,7.2,19.6,1773.0,51.0
215,September 1， 2020 at 7:14:48 AM,165.4,24.5,13.8,Normal,142.6,11.7,7.0,62.2,55.7,135.4,,7.2,19.6,1767.0,51.0
216,August 29， 2020 at 8:08:36 AM,164.6,24.4,13.7,Normal,142.2,11.6,7.0,62.3,55.7,135.0,,7.0,19.7,1762.0,51.0
217,August 28， 2020 at 7:24:48 AM,166.4,24.6,13.9,Normal,143.2,11.8,7.0,62.2,55.6,136.0,,7.2,19.6,1773.0,51.0
218,August 25， 2020 at 7:47:24 AM,166.0,24.6,13.9,Normal,143.0,11.8,7.0,62.2,55.6,135.8,,7.2,19.6,1770.0,51.0
219,August 24， 2020 at 7:15:36 AM,163.6,24.2,13.6,Normal,141.4,11.6,7.0,62.4,55.8,134.4,,7.0,19.7,1755.0,51.0
220,August 22， 2020 at 11:46:28 AM,164.4,24.3,13.7,Normal,141.8,11.6,7.0,62.3,55.8,134.8,,7.0,19.7,1759.0,51.0
221,August 21， 2020 at 7:19:07 AM,166.6,24.7,13.9,Normal,143.4,11.8,7.0,62.1,55.6,136.2,,7.2,19.6,1775.0,51.0
222,August 21， 2020 at 7:13:52 AM,166.8,24.7,13.9,Normal,143.6,11.8,7.0,62.1,55.6,136.4,,7.2,19.6,1776.0,51.0
223,August 19， 2020 at 7:34:07 AM,165.6,24.5,13.8,Normal,142.8,11.7,7.0,62.2,55.7,135.6,,7.2,19.6,1768.0,51.0
224,August 14， 2020 at 7:15:28 AM,164.2,24.3,13.7,Normal,141.8,11.6,7.0,62.3,55.8,134.6,,7.0,19.7,1759.0,51.0
225,August 12， 2020 at 6:52:40 AM,165.2,24.5,13.8,Normal,142.4,11.7,7.0,62.3,55.7,135.2,,7.2,19.7,1764.0,51.0
226,August 10， 2020 at 7:25:29 AM,165.8,24.6,13.8,Normal,142.8,11.7,7.0,62.2,55.7,135.6,,7.2,19.6,1769.0,51.0
227,August 7， 2020 at 7:44:40 AM,165.8,24.6,13.8,Normal,142.8,11.7,7.0,62.2,55.7,135.6,,7.2,19.6,1769.0,51.0
228,August 7， 2020 at 7:26:06 AM,166.4,24.6,13.9,Normal,143.2,11.8,7.0,62.2,55.6,136.0,,7.2,19.6,1773.0,51.0
229,August 4， 2020 at 7:02:30 AM,165.2,24.5,13.8,Normal,142.4,11.7,7.0,62.2,55.7,135.4,,7.2,19.7,1765.0,51.0
230,August 4， 2020 at 5:38:57 AM,167.0,24.7,14.0,Normal,143.6,11.8,7.0,62.1,55.6,136.4,,7.2,19.6,1777.0,51.0
231,August 3， 2020 at 7:09:25 AM,164.8,24.4,13.7,Normal,142.2,11.7,7.0,62.3,55.7,135.0,,7.0,19.7,1762.0,51.0
232,August 1， 2020 at 9:08:51 AM,164.4,24.4,13.7,Normal,142.0,11.6,7.0,62.3,55.8,134.8,,7.0,19.7,1760.0,51.0
233,July 31， 2020 at 7:06:55 AM,163.6,24.2,13.6,Normal,141.4,11.6,7.0,62.4,55.8,134.4,,7.0,19.7,1755.0,51.0
234,July 30， 2020 at 7:22:19 AM,165.8,24.6,13.8,Normal,142.8,11.7,7.0,62.2,55.7,135.6,,7.2,19.6,1769.0,51.0
235,July 29， 2020 at 6:57:06 AM,166.8,24.7,13.9,Normal,143.6,11.8,7.0,62.1,55.6,136.4,,7.2,19.6,1776.0,51.0
236,July 28， 2020 at 6:58:24 AM,166.2,24.6,13.9,Normal,143.0,11.8,7.0,62.2,55.6,135.8,,7.2,19.6,1771.0,51.0
237,July 28， 2020 at 6:44:32 AM,166.4,24.7,13.9,Normal,143.4,11.8,7.0,62.2,55.6,136.2,,7.2,19.6,1774.0,51.0
238,July 27， 2020 at 7:02:46 AM,164.8,24.4,13.7,Normal,142.2,11.7,7.0,62.3,55.7,135.0,,7.0,19.7,1762.0,51.0
239,July 25， 2020 at 8:33:58 AM,165.8,24.6,13.8,Normal,142.8,11.7,7.0,62.2,55.7,135.6,,7.2,19.6,1769.0,51.0
240,July 22， 2020 at 7:01:28 AM,165.2,24.5,13.8,Normal,142.4,11.7,7.0,62.2,55.7,135.4,,7.2,19.7,1765.0,51.0
241,July 20， 2020 at 6:42:02 AM,165.2,24.5,13.8,Normal,142.4,11.7,7.0,62.3,55.7,135.2,,7.2,19.7,1764.0,51.0
242,July 20， 2020 at 6:41:38 AM,165.2,24.5,13.8,Normal,142.4,11.7,7.0,62.3,55.7,135.2,,7.2,19.7,1764.0,51.0
243,July 19， 2020 at 8:03:29 AM,165.0,24.4,13.7,Normal,142.4,11.7,7.0,62.3,55.7,135.2,,7.2,19.7,1764.0,51.0
244,July 17， 2020 at 7:57:33 AM,165.2,24.5,13.8,Normal,142.4,11.7,7.0,62.2,55.7,135.4,,7.2,19.7,1765.0,51.0
245,July 17， 2020 at 7:40:36 AM,165.2,24.5,13.8,Normal,142.4,11.7,7.0,62.2,55.7,135.4,,7.2,19.7,1765.0,51.0
246,July 16， 2020 at 7:20:49 AM,164.4,24.4,13.7,Normal,142.0,11.6,7.0,62.3,55.8,134.8,,7.0,19.7,1760.0,51.0
247,July 16， 2020 at 7:20:21 AM,164.4,24.4,13.7,Normal,142.0,11.6,7.0,62.3,55.8,134.8,,7.0,19.7,1760.0,51.0
248,July 16， 2020 at 7:19:59 AM,164.4,24.4,13.7,Normal,142.0,11.6,7.0,62.3,55.8,134.8,,7.0,19.7,1760.0,51.0
249,July 16， 2020 at 7:19:36 AM,168.2,24.9,14.1,Normal,144.4,11.9,7.0,62.0,55.5,137.2,,7.2,19.6,1784.0,51.0
250,July 15， 2020 at 7:04:28 AM,164.4,24.3,13.7,Normal,141.8,11.6,7.0,62.3,55.8,134.8,,7.0,19.7,1759.0,51.0
251,July 14， 2020 at 7:24:50 AM,163.8,24.3,13.6,Normal,141.6,11.6,7.0,62.4,55.8,134.4,,7.0,19.7,1756.0,51.0
252,July 13， 2020 at 6:28:59 AM,164.4,24.3,13.7,Normal,141.8,11.6,7.0,62.3,55.8,134.8,,7.0,19.7,1759.0,51.0
253,July 12， 2020 at 7:43:02 AM,163.0,24.1,13.5,Normal,141.0,11.5,7.0,62.4,55.9,134.0,,7.0,19.7,1751.0,51.0
