Day,Time,Group,Metric,Unit,Amount
2021-02-28,,Misc,"Sleep (Oura)",hours,7.68333
2021-02-28,,Misc,"Heart Rate (Oura)",bpm,64.0
2021-02-28,,Misc,"Systolic Blood Pressure",mmHg,122.0
2021-02-28,,Misc,"Diastolic Blood Pressure",mmHg,80.0
2021-03-01,,Misc,"Sleep (Oura)",hours,7.65
2021-03-01,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-03-01,,Misc,"Systolic Blood Pressure",mmHg,119.0
2021-03-01,,Misc,"Diastolic Blood Pressure",mmHg,79.0
2021-03-02,,Misc,"Sleep (Oura)",hours,6.75833
2021-03-02,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-03-03,,Misc,"Sleep (Oura)",hours,6.63333
2021-03-03,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-03-04,,Misc,"Sleep (Oura)",hours,7.03333
2021-03-04,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-03-04,,Misc,"Systolic Blood Pressure",mmHg,122.0
2021-03-04,,Misc,"Diastolic Blood Pressure",mmHg,81.0
2021-03-05,,Misc,"Sleep (Oura)",hours,7.275
2021-03-05,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-03-06,,Misc,"Sleep (Oura)",hours,7.45
2021-03-06,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-03-07,,Misc,"Sleep (Oura)",hours,6.925
2021-03-07,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-03-08,,Misc,"Sleep (Oura)",hours,7.05833
2021-03-08,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-03-09,,Misc,"Sleep (Oura)",hours,7.0
2021-03-09,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-03-10,,Misc,"Sleep (Oura)",hours,7.28333
2021-03-10,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-03-11,,Misc,"Sleep (Oura)",hours,6.31667
2021-03-11,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-03-12,,Misc,"Sleep (Oura)",hours,6.56667
2021-03-12,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-03-13,,Misc,"Sleep (Oura)",hours,6.625
2021-03-13,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-03-14,,Misc,"Sleep (Oura)",hours,6.78333
2021-03-14,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-03-15,,Misc,"Sleep (Oura)",hours,7.16667
2021-03-15,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-03-16,,Misc,"Sleep (Oura)",hours,6.50833
2021-03-16,,Misc,"Heart Rate (Oura)",bpm,60.0
2021-03-17,,Misc,"Sleep (Oura)",hours,6.88333
2021-03-17,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-03-18,,Misc,"Sleep (Oura)",hours,7.275
2021-03-18,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-03-19,,Misc,"Sleep (Oura)",hours,5.81667
2021-03-19,,Misc,"Heart Rate (Oura)",bpm,61.0
2021-03-20,,Misc,"Sleep (Oura)",hours,8.025
2021-03-20,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-03-21,,Misc,"Sleep (Oura)",hours,6.45
2021-03-21,,Misc,"Heart Rate (Oura)",bpm,60.0
2021-03-22,,Misc,"Sleep (Oura)",hours,6.70833
2021-03-22,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-03-23,,Misc,"Sleep (Oura)",hours,7.08333
2021-03-23,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-03-24,,Misc,"Sleep (Oura)",hours,7.30833
2021-03-24,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-03-25,,Misc,"Sleep (Oura)",hours,5.50833
2021-03-25,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-03-26,,Misc,"Sleep (Oura)",hours,6.10833
2021-03-26,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-03-27,,Misc,"Sleep (Oura)",hours,7.55833
2021-03-27,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-03-28,,Misc,"Sleep (Oura)",hours,8.06667
2021-03-28,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-03-29,,Misc,"Sleep (Oura)",hours,7.175
2021-03-29,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-03-30,,Misc,"Sleep (Oura)",hours,6.825
2021-03-30,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-03-31,,Misc,"Sleep (Oura)",hours,7.18333
2021-03-31,,Misc,"Heart Rate (Oura)",bpm,61.0
2021-04-01,,Misc,"Sleep (Oura)",hours,6.65
2021-04-01,,Misc,"Heart Rate (Oura)",bpm,60.0
2021-04-02,,Misc,"Sleep (Oura)",hours,6.98333
2021-04-02,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-04-03,,Misc,"Sleep (Oura)",hours,6.45
2021-04-03,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-04-04,,Misc,"Sleep (Oura)",hours,7.25833
2021-04-04,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-04-05,,Misc,"Sleep (Oura)",hours,5.94167
2021-04-05,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-04-06,,Misc,"Sleep (Oura)",hours,7.8
2021-04-06,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-04-07,,Misc,"Sleep (Oura)",hours,6.03333
2021-04-07,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-04-08,,Misc,"Sleep (Oura)",hours,6.99167
2021-04-08,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-04-09,,Misc,"Sleep (Oura)",hours,7.45833
2021-04-09,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-04-10,,Misc,"Sleep (Oura)",hours,8.49167
2021-04-10,,Misc,"Heart Rate (Oura)",bpm,70.0
2021-04-11,,Misc,"Sleep (Oura)",hours,7.96667
2021-04-11,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-04-12,,Misc,"Sleep (Oura)",hours,7.83333
2021-04-12,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-04-13,,Misc,"Sleep (Oura)",hours,6.83333
2021-04-13,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-04-14,,Misc,"Sleep (Oura)",hours,6.69167
2021-04-14,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-04-15,,Misc,"Sleep (Oura)",hours,6.95833
2021-04-15,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-04-16,,Misc,"Sleep (Oura)",hours,7.16667
2021-04-16,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-04-17,,Misc,"Sleep (Oura)",hours,7.58333
2021-04-17,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-04-18,,Misc,"Sleep (Oura)",hours,7.80833
2021-04-18,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-04-19,,Misc,"Sleep (Oura)",hours,6.875
2021-04-19,,Misc,"Heart Rate (Oura)",bpm,61.0
2021-04-20,,Misc,"Sleep (Oura)",hours,6.825
2021-04-20,,Misc,"Heart Rate (Oura)",bpm,60.0
2021-04-21,,Misc,"Sleep (Oura)",hours,7.08333
2021-04-21,,Misc,"Heart Rate (Oura)",bpm,60.0
2021-04-22,,Misc,"Sleep (Oura)",hours,7.625
2021-04-22,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-04-23,,Misc,"Sleep (Oura)",hours,6.4
2021-04-23,,Misc,"Heart Rate (Oura)",bpm,60.0
2021-04-24,,Misc,"Sleep (Oura)",hours,8.24167
2021-04-24,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-04-25,,Misc,"Sleep (Oura)",hours,8.575
2021-04-25,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-04-26,,Misc,"Sleep (Oura)",hours,7.61667
2021-04-26,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-04-27,,Misc,"Sleep (Oura)",hours,6.85833
2021-04-27,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-04-28,,Misc,"Sleep (Oura)",hours,6.45833
2021-04-28,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-04-29,,Misc,"Sleep (Oura)",hours,7.75
2021-04-29,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-04-30,,Misc,"Sleep (Oura)",hours,6.5
2021-04-30,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-05-01,,Misc,"Sleep (Oura)",hours,6.9
2021-05-01,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-05-02,,Misc,"Sleep (Oura)",hours,6.25
2021-05-02,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-05-03,,Misc,"Sleep (Oura)",hours,6.8
2021-05-03,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-05-03,,Misc,"Weight",lbs,173.0
2021-05-04,,Misc,"Sleep (Oura)",hours,7.19167
2021-05-04,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-05-05,,Misc,"Sleep (Oura)",hours,7.125
2021-05-05,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-05-06,,Misc,"Sleep (Oura)",hours,5.63333
2021-05-06,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-05-07,,Misc,"Sleep (Oura)",hours,6.91667
2021-05-07,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-05-08,,Misc,"Sleep (Oura)",hours,5.225
2021-05-08,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-05-09,,Misc,"Sleep (Oura)",hours,5.825
2021-05-09,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-05-10,,Misc,"Sleep (Oura)",hours,6.85833
2021-05-10,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-05-11,,Misc,"Sleep (Oura)",hours,7.01667
2021-05-11,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-05-12,,Misc,"Sleep (Oura)",hours,7.08333
2021-05-12,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-05-13,,Misc,"Sleep (Oura)",hours,5.70833
2021-05-13,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-05-14,,Misc,"Sleep (Oura)",hours,5.775
2021-05-14,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-05-15,,Misc,"Sleep (Oura)",hours,5.61667
2021-05-15,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-05-16,,Misc,"Sleep (Oura)",hours,8.8
2021-05-16,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-05-17,,Misc,"Sleep (Oura)",hours,6.53333
2021-05-17,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-05-18,,Misc,"Sleep (Oura)",hours,5.75833
2021-05-18,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-05-19,,Misc,"Sleep (Oura)",hours,7.11667
2021-05-19,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-05-19,,Misc,"Weight",lbs,170.0
2021-05-20,,Misc,"Sleep (Oura)",hours,6.79167
2021-05-20,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-05-21,,Misc,"Sleep (Oura)",hours,6.05833
2021-05-21,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-05-22,,Misc,"Sleep (Oura)",hours,7.68333
2021-05-22,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-05-23,,Misc,"Sleep (Oura)",hours,7.55
2021-05-23,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-05-24,,Misc,"Sleep (Oura)",hours,7.2
2021-05-24,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-05-25,,Misc,"Sleep (Oura)",hours,7.01667
2021-05-25,,Misc,"Heart Rate (Oura)",bpm,52.0
2021-05-26,,Misc,"Sleep (Oura)",hours,6.39167
2021-05-26,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-05-27,,Misc,"Sleep (Oura)",hours,7.03333
2021-05-27,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-05-28,,Misc,"Sleep (Oura)",hours,7.63333
2021-05-28,,Misc,"Heart Rate (Oura)",bpm,52.0
2021-05-29,,Misc,"Sleep (Oura)",hours,6.73333
2021-05-29,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-05-30,,Misc,"Sleep (Oura)",hours,7.10833
2021-05-30,,Misc,"Heart Rate (Oura)",bpm,52.0
2021-05-31,,Misc,"Weight",lbs,170.0
2021-05-31,,Misc,"Sleep (Oura)",hours,6.35
2021-05-31,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-06-01,,Misc,"Sleep (Oura)",hours,7.75833
2021-06-01,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-06-02,,Misc,"Sleep (Oura)",hours,7.2
2021-06-02,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-06-02,,Misc,"Weight",lbs,170.0
2021-06-03,,Misc,"Sleep (Oura)",hours,6.325
2021-06-03,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-06-04,,Misc,"Sleep (Oura)",hours,6.975
2021-06-04,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-06-06,,Misc,"Sleep (Oura)",hours,8.16667
2021-06-06,,Misc,"Heart Rate (Oura)",bpm,62.0
2021-06-07,,Misc,"Sleep (Oura)",hours,6.9
2021-06-07,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-06-08,,Misc,"Sleep (Oura)",hours,6.90833
2021-06-08,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-06-09,,Misc,"Sleep (Oura)",hours,7.05833
2021-06-09,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-06-10,,Misc,"Sleep (Oura)",hours,6.95833
2021-06-10,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-06-11,,Misc,"Sleep (Oura)",hours,6.71667
2021-06-11,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-06-12,,Misc,"Sleep (Oura)",hours,5.63333
2021-06-12,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-06-13,,Misc,"Sleep (Oura)",hours,7.81667
2021-06-13,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-06-14,,Misc,"Sleep (Oura)",hours,5.76667
2021-06-14,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-06-15,,Misc,"Sleep (Oura)",hours,6.65
2021-06-15,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-06-15,,Misc,"Weight",lbs,167.0
2021-06-16,,Misc,"Sleep (Oura)",hours,6.8
2021-06-16,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-06-17,,Misc,"Sleep (Oura)",hours,7.04167
2021-06-17,,Misc,"Heart Rate (Oura)",bpm,52.0
2021-06-17,,Misc,"Weight",lbs,167.0
2021-06-18,,Misc,"Sleep (Oura)",hours,7.70833
2021-06-18,,Misc,"Heart Rate (Oura)",bpm,50.0
2021-06-19,,Misc,"Sleep (Oura)",hours,6.18333
2021-06-19,,Misc,"Heart Rate (Oura)",bpm,51.0
2021-06-20,,Misc,"Sleep (Oura)",hours,7.4
2021-06-20,,Misc,"Heart Rate (Oura)",bpm,51.0
2021-06-21,,Misc,"Sleep (Oura)",hours,6.675
2021-06-21,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-06-22,,Misc,"Sleep (Oura)",hours,7.18333
2021-06-22,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-06-22,,Misc,"Systolic Blood Pressure",mmHg,118.0
2021-06-22,,Misc,"Diastolic Blood Pressure",mmHg,82.0
2021-06-23,,Misc,"Sleep (Oura)",hours,7.125
2021-06-23,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-06-24,,Misc,"Sleep (Oura)",hours,7.28333
2021-06-24,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-06-25,,Misc,"Sleep (Oura)",hours,6.61667
2021-06-25,,Misc,"Heart Rate (Oura)",bpm,52.0
2021-06-26,,Misc,"Sleep (Oura)",hours,6.84167
2021-06-26,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-06-27,,Misc,"Sleep (Oura)",hours,7.05
2021-06-27,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-06-28,,Misc,"Sleep (Oura)",hours,8.05
2021-06-28,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-06-29,,Misc,"Sleep (Oura)",hours,5.95
2021-06-29,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-06-30,,Misc,"Systolic Blood Pressure",mmHg,118.0
2021-06-30,,Misc,"Sleep (Oura)",hours,7.13333
2021-06-30,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-06-30,,Misc,"Diastolic Blood Pressure",mmHg,82.0
2021-07-01,,Misc,"Sleep (Oura)",hours,6.70833
2021-07-01,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-07-02,,Misc,"Sleep (Oura)",hours,6.93333
2021-07-02,,Misc,"Heart Rate (Oura)",bpm,62.0
2021-07-03,,Misc,"Sleep (Oura)",hours,6.68333
2021-07-03,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-07-06,,Misc,"Sleep (Oura)",hours,6.725
2021-07-06,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-07-07,,Misc,"Sleep (Oura)",hours,5.98333
2021-07-07,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-07-08,,Misc,"Sleep (Oura)",hours,6.94167
2021-07-08,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-07-09,,Misc,"Sleep (Oura)",hours,7.14167
2021-07-09,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-07-10,,Misc,"Sleep (Oura)",hours,6.81667
2021-07-10,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-07-11,,Misc,"Sleep (Oura)",hours,7.20833
2021-07-11,,Misc,"Heart Rate (Oura)",bpm,52.0
2021-07-12,,Misc,"Weight",lbs,166.6
2021-07-13,,Misc,"Sleep (Oura)",hours,6.05833
2021-07-13,,Misc,"Heart Rate (Oura)",bpm,60.0
2021-07-14,,Misc,"Sleep (Oura)",hours,6.05833
2021-07-14,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-07-16,,Misc,"Sleep (Oura)",hours,7.08333
2021-07-16,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-07-17,,Misc,"Sleep (Oura)",hours,7.66667
2021-07-17,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-07-18,,Misc,"Sleep (Oura)",hours,6.45833
2021-07-18,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-07-19,,Dinner,"Systolic Blood Pressure",mmHg,120.0
2021-07-19,,Dinner,"Diastolic Blood Pressure",mmHg,84.0
2021-07-19,,Misc,"Sleep (Oura)",hours,6.54167
2021-07-19,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-07-20,,Misc,"Sleep (Oura)",hours,5.84167
2021-07-20,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-07-21,,Misc,"Sleep (Oura)",hours,6.625
2021-07-21,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-07-22,,Misc,"Systolic Blood Pressure",mmHg,127.0
2021-07-22,,Misc,"Sleep (Oura)",hours,5.925
2021-07-22,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-07-22,,Misc,"Weight",lbs,167.0
2021-07-22,,Misc,"Diastolic Blood Pressure",mmHg,91.0
2021-07-24,,Misc,"Sleep (Oura)",hours,6.65833
2021-07-24,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-07-25,,Misc,"Sleep (Oura)",hours,7.38333
2021-07-25,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-07-26,,Misc,"Sleep (Oura)",hours,7.35833
2021-07-26,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-07-27,,Misc,"Sleep (Oura)",hours,8.20833
2021-07-27,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-07-28,,Misc,"Sleep (Oura)",hours,6.98333
2021-07-28,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-07-30,,Misc,"Sleep (Oura)",hours,7.55
2021-07-30,,Misc,"Heart Rate (Oura)",bpm,62.0
2021-07-31,,Misc,"Sleep (Oura)",hours,7.39167
2021-07-31,,Misc,"Heart Rate (Oura)",bpm,65.0
2021-08-01,,Misc,"Sleep (Oura)",hours,7.93333
2021-08-01,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-08-02,,Misc,"Sleep (Oura)",hours,6.54167
2021-08-02,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-08-03,,Misc,"Sleep (Oura)",hours,6.4
2021-08-03,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-08-04,,Misc,"Sleep (Oura)",hours,6.15833
2021-08-04,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-08-05,,Misc,"Sleep (Oura)",hours,5.35
2021-08-05,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-08-06,,Misc,"Sleep (Oura)",hours,7.2
2021-08-06,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-08-07,,Misc,"Sleep (Oura)",hours,6.61667
2021-08-07,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-08-08,,Misc,"Sleep (Oura)",hours,6.9
2021-08-08,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-08-09,,Dinner,"Weight",lbs,167.0
2021-08-09,,Misc,"Sleep (Oura)",hours,7.425
2021-08-09,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-08-10,,Misc,"Sleep (Oura)",hours,6.15833
2021-08-10,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-08-11,,Misc,"Sleep (Oura)",hours,7.48333
2021-08-11,,Misc,"Heart Rate (Oura)",bpm,60.0
2021-08-12,,Misc,"Sleep (Oura)",hours,6.56667
2021-08-12,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-08-13,,Misc,"Sleep (Oura)",hours,6.5
2021-08-13,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-08-14,,Misc,"Sleep (Oura)",hours,7.38333
2021-08-14,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-08-15,,Misc,"Sleep (Oura)",hours,7.30833
2021-08-15,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-08-16,,Misc,"Sleep (Oura)",hours,6.24167
2021-08-16,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-08-17,,Misc,"Sleep (Oura)",hours,6.775
2021-08-17,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-08-18,,Misc,"Sleep (Oura)",hours,5.41667
2021-08-18,,Misc,"Heart Rate (Oura)",bpm,61.0
2021-08-19,,Misc,"Sleep (Oura)",hours,5.69167
2021-08-19,,Misc,"Heart Rate (Oura)",bpm,61.0
2021-08-20,,Misc,"Sleep (Oura)",hours,6.7
2021-08-20,,Misc,"Heart Rate (Oura)",bpm,60.0
2021-08-21,,Misc,"Sleep (Oura)",hours,7.46667
2021-08-21,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-08-22,,Misc,"Sleep (Oura)",hours,7.13333
2021-08-22,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-08-23,,Misc,"Sleep (Oura)",hours,6.96667
2021-08-23,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-08-24,,Misc,"Sleep (Oura)",hours,5.925
2021-08-24,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-08-25,,Misc,"Sleep (Oura)",hours,7.56667
2021-08-25,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-08-26,,Misc,"Sleep (Oura)",hours,5.74167
2021-08-26,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-08-27,,Misc,"Sleep (Oura)",hours,8.18333
2021-08-27,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-08-28,,Misc,"Sleep (Oura)",hours,7.60833
2021-08-28,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-08-29,,Misc,"Sleep (Oura)",hours,7.95833
2021-08-29,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-08-30,,Misc,"Sleep (Oura)",hours,6.90833
2021-08-30,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-08-31,,Misc,"Sleep (Oura)",hours,3.21667
2021-08-31,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-09-02,,Misc,"Sleep (Oura)",hours,7.21667
2021-09-02,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-09-03,,Misc,"Sleep (Oura)",hours,7.04167
2021-09-03,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-09-04,,Misc,"Sleep (Oura)",hours,8.225
2021-09-04,,Misc,"Heart Rate (Oura)",bpm,61.0
2021-09-05,,Misc,"Sleep (Oura)",hours,8.80833
2021-09-05,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-09-06,,Misc,"Sleep (Oura)",hours,7.13333
2021-09-06,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-09-07,,Misc,"Sleep (Oura)",hours,6.84167
2021-09-07,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-09-08,,Misc,"Sleep (Oura)",hours,6.35
2021-09-08,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-09-09,,Misc,"Sleep (Oura)",hours,6.85833
2021-09-09,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-09-10,,Misc,"Sleep (Oura)",hours,6.84167
2021-09-10,,Misc,"Heart Rate (Oura)",bpm,54.0
2021-09-11,,Misc,"Sleep (Oura)",hours,7.73333
2021-09-11,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-09-11,,Misc,"Systolic Blood Pressure",mmHg,127.0
2021-09-11,,Misc,"Diastolic Blood Pressure",mmHg,85.0
2021-09-12,,Misc,"Sleep (Oura)",hours,7.1
2021-09-12,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-09-13,,Misc,"Sleep (Oura)",hours,7.075
2021-09-13,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-09-14,,Misc,"Sleep (Oura)",hours,6.175
2021-09-14,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-09-15,,Misc,"Sleep (Oura)",hours,6.925
2021-09-15,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-09-16,,Misc,"Sleep (Oura)",hours,6.38333
2021-09-16,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-09-17,,Misc,"Sleep (Oura)",hours,7.99167
2021-09-17,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-09-18,,Misc,"Sleep (Oura)",hours,7.35
2021-09-18,,Misc,"Heart Rate (Oura)",bpm,57.0
2021-09-19,,Misc,"Sleep (Oura)",hours,7.525
2021-09-19,,Misc,"Heart Rate (Oura)",bpm,56.0
2021-09-20,,Misc,"Sleep (Oura)",hours,7.56667
2021-09-20,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-09-21,,Misc,"Sleep (Oura)",hours,6.20833
2021-09-21,,Misc,"Heart Rate (Oura)",bpm,61.0
2021-09-22,,Misc,"Sleep (Oura)",hours,7.16667
2021-09-22,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-09-22,,Misc,"Weight",lbs,166.4
2021-09-22,,Misc,"Systolic Blood Pressure",mmHg,120.0
2021-09-22,,Misc,"Diastolic Blood Pressure",mmHg,85.0
2021-09-24,,Misc,"Sleep (Oura)",hours,6.65833
2021-09-24,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-09-27,,Misc,"Sleep (Oura)",hours,7.71667
2021-09-27,,Misc,"Heart Rate (Oura)",bpm,58.0
2021-09-28,,Misc,"Sleep (Oura)",hours,6.36667
2021-09-28,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-09-29,,Misc,"Sleep (Oura)",hours,6.0
2021-09-29,,Misc,"Heart Rate (Oura)",bpm,55.0
2021-09-30,,Misc,"Sleep (Oura)",hours,5.925
2021-09-30,,Misc,"Heart Rate (Oura)",bpm,53.0
2021-10-01,,Misc,"Sleep (Oura)",hours,6.875
2021-10-01,,Misc,"Heart Rate (Oura)",bpm,59.0
2021-10-02,,Misc,"Sleep (Oura)",hours,5.9
