Day,Time,Group,Metric,Unit,Amount
2020-10-22,7:26 AM,Misc,"Weight (Apple Health)",lbs,167.772
2020-10-23,6:37 AM,Misc,"Heart Rate (Apple Health)",bpm,54.0
2020-10-24,8:15 AM,Misc,"Heart Rate (Apple Health)",bpm,60.0
2020-10-25,7:53 AM,Misc,"Heart Rate (Apple Health)",bpm,54.0
2020-10-26,5:27 AM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-10-27,9:12 PM,Misc,"Heart Rate (Apple Health)",bpm,85.0
2020-10-28,11:56 PM,Misc,"Heart Rate (Apple Health)",bpm,63.0
2020-10-29,11:58 PM,Misc,"Heart Rate (Apple Health)",bpm,63.0
2020-10-30,5:38 AM,Misc,"Heart Rate (Apple Health)",bpm,62.0
2020-10-31,7:55 AM,Misc,"Heart Rate (Apple Health)",bpm,55.0
2020-11-01,9:07 AM,Misc,"Weight (Apple Health)",lbs,167.441
2020-11-01,9:07 AM,Misc,"Body Fat (Apple Health)",%,14.0381
2020-11-01,9:07 AM,Misc,"Heart Rate (Apple Health)",bpm,72.0
2020-11-02,6:04 AM,Misc,"Heart Rate (Apple Health)",bpm,52.0
2020-11-03,5:43 AM,Misc,"Heart Rate (Apple Health)",bpm,74.0
2020-11-03,7:11 AM,Misc,"Weight (Apple Health)",lbs,167.772
2020-11-03,7:11 AM,Misc,"Body Fat (Apple Health)",%,14.083
2020-11-04,11:35 PM,Misc,"Heart Rate (Apple Health)",bpm,60.0
2020-11-05,5:40 AM,Misc,"Heart Rate (Apple Health)",bpm,55.0
2020-11-06,7:13 AM,Misc,"Heart Rate (Apple Health)",bpm,50.0
2020-11-07,11:55 PM,Misc,"Heart Rate (Apple Health)",bpm,65.0
2020-11-08,7:05 AM,Misc,"Heart Rate (Apple Health)",bpm,62.0
2020-11-09,4:54 AM,Misc,"Heart Rate (Apple Health)",bpm,53.0
2020-11-10,5:32 AM,Misc,"Heart Rate (Apple Health)",bpm,64.0
2020-11-11,5:18 AM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-11-12,5:41 AM,Misc,"Heart Rate (Apple Health)",bpm,61.0
2020-11-13,5:29 AM,Misc,"Heart Rate (Apple Health)",bpm,64.0
2020-11-14,11:56 PM,Misc,"Heart Rate (Apple Health)",bpm,67.0
2020-11-15,6:21 AM,Misc,"Heart Rate (Apple Health)",bpm,65.0
2020-11-16,11:57 PM,Misc,"Heart Rate (Apple Health)",bpm,63.0
2020-11-17,5:12 AM,Misc,"Heart Rate (Apple Health)",bpm,62.0
2020-11-18,5:20 AM,Misc,"Heart Rate (Apple Health)",bpm,52.0
2020-11-18,6:53 AM,Misc,"Weight (Apple Health)",lbs,169.866
2020-11-18,6:53 AM,Misc,"Body Fat (Apple Health)",%,14.3007
2020-11-19,5:47 AM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-11-20,6:58 AM,Misc,"Heart Rate (Apple Health)",bpm,65.0
2020-11-21,10:05 AM,Misc,"Heart Rate (Apple Health)",bpm,66.0
2020-11-22,6:40 AM,Misc,"Heart Rate (Apple Health)",bpm,59.0
2020-11-23,7:06 PM,Misc,"Heart Rate (Apple Health)",bpm,70.0
2020-11-24,11:55 PM,Misc,"Heart Rate (Apple Health)",bpm,56.0
2020-11-25,11:56 PM,Misc,"Heart Rate (Apple Health)",bpm,68.0
2020-11-26,11:55 PM,Misc,"Heart Rate (Apple Health)",bpm,52.0
2020-11-27,6:55 AM,Misc,"Heart Rate (Apple Health)",bpm,55.0
2020-11-28,3:45 PM,Misc,"Heart Rate (Apple Health)",bpm,75.0
2020-11-29,8:37 AM,Misc,"Heart Rate (Apple Health)",bpm,65.0
2020-11-30,6:54 AM,Misc,"Body Fat (Apple Health)",%,14.4014
2020-11-30,6:54 AM,Misc,"Weight (Apple Health)",lbs,170.748
2020-11-30,11:57 PM,Misc,"Heart Rate (Apple Health)",bpm,68.0
2020-12-01,6:35 AM,Misc,"Weight (Apple Health)",lbs,172.291
2020-12-01,6:35 AM,Misc,"Body Fat (Apple Health)",%,14.5918
2020-12-01,8:12 PM,Misc,"Heart Rate (Apple Health)",bpm,69.0
2020-12-02,6:48 AM,Misc,"Body Fat (Apple Health)",%,14.3401
2020-12-02,6:48 AM,Misc,"Weight (Apple Health)",lbs,170.087
2020-12-02,8:16 PM,Misc,"Heart Rate (Apple Health)",bpm,69.0
2020-12-03,7:10 AM,Misc,"Body Fat (Apple Health)",%,14.2898
2020-12-03,7:10 AM,Misc,"Weight (Apple Health)",lbs,169.646
2020-12-03,8:10 AM,Misc,"Heart Rate (Apple Health)",bpm,66.0
2020-12-04,6:47 AM,Misc,"Body Fat (Apple Health)",%,14.2449
2020-12-04,6:47 AM,Misc,"Weight (Apple Health)",lbs,169.315
2020-12-04,7:09 AM,Misc,"Body Fat (Apple Health)",%,14.2
2020-12-04,7:09 AM,Misc,"Weight (Apple Health)",lbs,168.984
2020-12-04,7:09 AM,Misc,"Weight (Apple Health)",lbs,168.984
2020-12-04,11:56 PM,Misc,"Heart Rate (Apple Health)",bpm,64.0
2020-12-05,8:44 AM,Misc,"Heart Rate (Apple Health)",bpm,70.0
2020-12-06,10:37 AM,Misc,"Body Fat (Apple Health)",%,14.1946
2020-12-06,10:37 AM,Misc,"Weight (Apple Health)",lbs,168.874
2020-12-06,6:15 PM,Misc,"Heart Rate (Apple Health)",bpm,64.0
2020-12-07,7:14 PM,Misc,"Heart Rate (Apple Health)",bpm,68.0
2020-12-08,12:37 PM,Misc,"Heart Rate (Apple Health)",bpm,72.0
2020-12-09,7:12 AM,Misc,"Body Fat (Apple Health)",%,14.3456
2020-12-09,7:12 AM,Misc,"Weight (Apple Health)",lbs,170.197
2020-12-09,10:07 AM,Misc,"Heart Rate (Apple Health)",bpm,113.0
2020-12-10,7:18 AM,Misc,"Weight (Apple Health)",lbs,171.299
2020-12-10,7:18 AM,Misc,"Body Fat (Apple Health)",%,14.4571
2020-12-11,7:12 AM,Misc,"Weight (Apple Health)",lbs,170.087
2020-12-11,7:12 AM,Misc,"Body Fat (Apple Health)",%,14.3401
2020-12-11,7:16 AM,Misc,"Weight (Apple Health)",lbs,170.087
2020-12-11,7:16 AM,Misc,"Body Fat (Apple Health)",%,14.3401
2020-12-11,11:57 PM,Misc,"Heart Rate (Apple Health)",bpm,67.0
2020-12-12,1:21 AM,Misc,"Heart Rate (Apple Health)",bpm,71.0
2020-12-13,6:17 PM,Misc,"Heart Rate (Apple Health)",bpm,75.0
2020-12-14,6:02 PM,Misc,"Heart Rate (Apple Health)",bpm,77.0
2020-12-15,6:53 AM,Misc,"Heart Rate (Apple Health)",bpm,58.0
2020-12-16,7:26 AM,Misc,"Body Fat (Apple Health)",%,14.3007
2020-12-16,7:26 AM,Misc,"Weight (Apple Health)",lbs,169.866
2020-12-16,7:27 AM,Misc,"Body Fat (Apple Health)",%,14.3007
2020-12-16,7:27 AM,Misc,"Weight (Apple Health)",lbs,169.866
2020-12-16,5:44 PM,Misc,"Heart Rate (Apple Health)",bpm,70.0
2020-12-17,7:24 AM,Misc,"Body Fat (Apple Health)",%,14.1388
2020-12-17,7:24 AM,Misc,"Weight (Apple Health)",lbs,168.323
2020-12-17,11:41 AM,Misc,"Heart Rate (Apple Health)",bpm,91.0
2020-12-18,7:21 AM,Misc,"Weight (Apple Health)",lbs,167.221
2020-12-18,7:21 AM,Misc,"Body Fat (Apple Health)",%,13.9986
2020-12-18,8:01 AM,Misc,"Heart Rate (Apple Health)",bpm,73.0
2020-12-19,8:00 PM,Misc,"Heart Rate (Apple Health)",bpm,76.0
2020-12-20,8:39 AM,Misc,"Body Fat (Apple Health)",%,14.0327
2020-12-20,8:39 AM,Misc,"Weight (Apple Health)",lbs,167.331
2020-12-20,10:12 PM,Misc,"Heart Rate (Apple Health)",bpm,121.0
2020-12-21,12:06 PM,Misc,"Heart Rate (Apple Health)",bpm,96.0
2020-12-22,11:56 PM,Misc,"Heart Rate (Apple Health)",bpm,58.0
2020-12-23,11:59 PM,Misc,"Heart Rate (Apple Health)",bpm,75.0
2020-12-24,11:58 PM,Misc,"Heart Rate (Apple Health)",bpm,54.0
2020-12-25,11:59 PM,Misc,"Heart Rate (Apple Health)",bpm,67.0
2020-12-26,8:32 PM,Misc,"Heart Rate (Apple Health)",bpm,68.0
2020-12-27,9:49 AM,Misc,"Heart Rate (Apple Health)",bpm,115.0
2020-12-28,12:01 AM,Misc,"Heart Rate (Apple Health)",bpm,79.0
2020-12-29,11:56 PM,Misc,"Heart Rate (Apple Health)",bpm,76.0
2020-12-30,6:56 AM,Misc,"Heart Rate (Apple Health)",bpm,62.0
2020-12-31,11:51 PM,Misc,"Heart Rate (Apple Health)",bpm,94.0
2021-01-01,12:45 AM,Misc,"Heart Rate (Apple Health)",bpm,81.486
2021-01-02,10:12 PM,Misc,"Heart Rate (Apple Health)",bpm,59.0
2021-01-03,4:33 PM,Misc,"Heart Rate (Apple Health)",bpm,63.0
2021-01-04,7:05 AM,Misc,"Weight (Apple Health)",lbs,166.8
2021-01-04,7:05 AM,Misc,"Body Fat (Apple Health)",%,13.9483
2021-01-04,8:25 PM,Misc,"Heart Rate (Apple Health)",bpm,69.0
2021-01-05,9:15 PM,Misc,"Heart Rate (Apple Health)",bpm,71.0
2021-01-06,7:11 AM,Misc,"Weight (Apple Health)",lbs,166.2
2021-01-06,7:11 AM,Misc,"Body Fat (Apple Health)",%,13.8871
2021-01-06,6:16 PM,Misc,"Heart Rate (Apple Health)",bpm,72.0
2021-01-07,11:18 PM,Misc,"Heart Rate (Apple Health)",bpm,70.0
2021-01-08,11:24 AM,Misc,"Heart Rate (Apple Health)",bpm,75.0
2021-01-09,8:54 PM,Misc,"Heart Rate (Apple Health)",bpm,75.0
2021-01-10,7:45 AM,Misc,"Body Fat (Apple Health)",%,13.9374
2021-01-10,7:45 AM,Misc,"Weight (Apple Health)",lbs,166.6
2021-01-10,4:56 PM,Misc,"Heart Rate (Apple Health)",bpm,71.0
2021-01-11,7:37 AM,Misc,"Body Fat (Apple Health)",%,13.8816
2021-01-11,7:37 AM,Misc,"Weight (Apple Health)",lbs,166.0
2021-01-11,7:52 AM,Misc,"Heart Rate (Apple Health)",bpm,68.0
2021-01-12,4:25 PM,Misc,"Heart Rate (Apple Health)",bpm,84.0
2021-01-13,10:10 PM,Misc,"Heart Rate (Apple Health)",bpm,61.0
2021-01-14,6:11 PM,Misc,"Heart Rate (Apple Health)",bpm,69.0
2021-01-15,3:43 PM,Misc,"Heart Rate (Apple Health)",bpm,76.0
2021-01-16,11:58 PM,Misc,"Heart Rate (Apple Health)",bpm,68.0
2021-01-17,11:57 PM,Misc,"Heart Rate (Apple Health)",bpm,57.0
2021-01-18,10:43 PM,Misc,"Heart Rate (Apple Health)",bpm,75.0
2021-01-19,7:15 AM,Misc,"Body Fat (Apple Health)",%,14.049
2021-01-19,7:15 AM,Misc,"Weight (Apple Health)",lbs,167.6
2021-01-19,8:13 AM,Misc,"Heart Rate (Apple Health)",bpm,95.0
2021-01-20,11:54 PM,Misc,"Heart Rate (Apple Health)",bpm,55.0
2021-01-21,6:29 AM,Misc,"Heart Rate (Apple Health)",bpm,60.0
